state,action_0,action_1,action_2,action_3
0,0.20692313525205588,0.411870082569058,0.16235410142553625,-0.9993802747924531
1,0.0,0.0,0.0,0.0
2,-0.02385742852383291,-0.2262190625,-0.18549375,-0.008958163077196305
3,-0.021781861762031878,0.03773451541244867,-0.014656610537159978,-0.30166270390625005
4,0.0,0.0,0.0,0.0
5,-0.011490395463222086,-0.006633002685950477,-0.2262190625,-0.142625
6,0.0,0.0,0.0,0.0
7,0.0,0.0,-0.05,-0.0975
8,0.0,0.0,0.0,0.0
9,0.0,0.0,-0.05,0.0
10,0.23320078963293742,-0.9964551604559458,0.24634050339103128,0.3982370112194335
11,-0.9934398568195746,0.47077912951144596,0.27338042759423076,-0.9968007823114912
12,0.0,0.0,0.0,0.0
13,-0.017043909464992013,0.27344804752031465,-0.36975059027539064,-0.014024662918444066
14,-0.26490810937500003,-0.18549375,-0.00590159392153582,-0.005845403066785503
15,-0.011032403617001828,-0.013912902201521983,-0.011035222170258175,-0.006826951713019632
16,-0.2262190625,-0.0051908249617317725,-0.00475525039302403,-0.0025495848502326817
17,-0.002475,-0.142625,-0.00235125,0.0018858714628280106
18,-0.05,0.0260507835748226,-0.0024749999999999998,-0.0022336875
19,0.0,-0.0975,-1.6649128023086408e-06,0.0
20,0.0,0.0,0.0,0.0
21,0.28979394007682097,-0.9850948746175253,-0.9956478669819242,0.5163730686212835
22,-0.9927311432903874,0.5419608257836886,0.3654594877007011,0.360231637175135
23,0.21396486859968156,0.5415304579835298,0.26803106935296644,-0.9817004161938908
24,0.0,0.0,0.0,0.0
25,-0.00043302826399013787,0.5216203505974558,-0.3365795687109375,-0.007317693954488337
26,-0.00021121437825637646,-0.18549375,0.04657304879032355,-0.0975
27,0.0,0.0,0.0,0.0
28,-0.0001994535434052618,0.2453888661612748,-0.05,-0.0975
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,-0.05
31,0.0,0.0,0.0,0.0
32,0.2718968190984101,0.024461444660280884,-0.7621731147446675,0.6101436232894888
33,0.42375262655526036,-0.990606053525824,0.3867265786587165,0.6369422452681237
34,-0.9949238862597163,0.3923997280833275,0.4266542425492756,0.6245948272274997
35,0.3958906805215055,0.6139640778065208,0.3995525856873262,-0.9737954940850637
36,0.0,0.0,0.0,0.0
37,-0.18549375,0.08766664772405111,-0.05,0.5235938458484541
38,0.04403111834972175,0.6427950531626725,0.10810998335505526,0.09357661185305664
39,-0.30166270390625005,0.6257945845375574,0.08260295114813726,0.12444551466851525
40,0.0,-0.0975,0.0,0.0
41,-0.2262190625,-0.0009225058520034359,-0.002475,-0.000991312686169448
42,-0.01925216820482178,0.05178535647100669,-0.01186067698067663,-0.26490810937500003
43,0.0,0.0,0.0,0.0
44,0.27572938877095793,-0.7226104268781659,-0.6226463974646923,0.5323173460056189
45,0.38464827306409255,0.3719970455414581,0.37894398219081493,0.6288016863189911
46,-0.990606053525824,0.4748596289908486,0.5188876628697732,0.6654615771961647
47,0.47824166795896067,0.48543488868880336,0.4632453274943111,0.6925646884843577
48,0.5332059820034322,-0.9937678639785958,0.5816472957271146,0.7236859644980959
49,0.5060579541499877,0.7486004552187371,0.5629726973836482,0.5611350201370815
50,0.0,0.0,0.0,0.0
51,-0.003947666785529454,-0.0022628156304475493,-0.18549375,-0.001993368676278921
52,-0.010837298344527534,-0.2262190625,-0.0070053294697590566,0.101240899226228
53,-0.142625,0.18438720329432828,-0.005780644770464503,-0.18549375
54,0.0,0.0,0.0,0.0
55,0.4839822935572071,-0.30166270390625005,-0.26490810937500003,0.11874240506805356
56,0.06055689852567056,-0.006554518617078387,0.020721273460761483,0.5372854793993739
57,0.6035317930723634,-0.26490810937500003,0.07446110474978554,-0.3365795687109375
58,0.0,0.0,0.0,0.0
59,0.6062622002725236,0.7506133952496213,-0.9956478669819242,0.593384759423743
60,-0.2262190625,-0.004341529444241209,-0.013344116413709249,-0.007462839851167981
61,-0.007001518031325798,-0.005538850590083932,-0.00835504563434749,-0.2262190625
62,0.0,0.0,0.0,0.0
63,-0.00235125,0.29009850525825154,-0.0975,-6.06436875e-06
64,-0.05,-0.0001225125,-0.00011056753125,-0.05
65,0.0,0.0,0.0,0.0
66,0.0,0.06404722045556144,-0.142625,-0.05
67,0.0,0.0,0.0,0.0
68,-0.9807372802040956,0.8931245422350145,-0.9817004161938908,0.7710158520593705
69,0.6292109855537015,-0.9949238862597163,0.8187217067108803,0.6252904427821359
70,-0.002348780608642356,-0.2262190625,-0.0019758940070003284,-0.002341551305617441
71,-0.014501665233431198,-0.010936025807541888,-0.009304037369071523,-0.015500566249503463
72,-0.2262190625,-0.0020401170942052895,-0.0035477347733207684,-0.004584937197953076
73,0.00999734895961067,-0.2262190625,-0.0024801554825298862,0.44040039634012307
74,-5.7611503125e-06,0.0,0.014219840498698975,0.5731639842146226
75,-0.05,-0.0975,0.0,0.6343689660017249
76,0.0015192783801520667,0.0014296045916298438,0.024921301747456506,0.6978519520588815
77,-0.26490810937500003,0.04278868184143098,0.12104157404007534,0.8572774374814655
78,0.8144961612027036,0.9050488319443818,0.7489344447952451,-0.9850948746175253
79,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
81,-0.00407486421766103,-0.007060268080077084,-0.18549375,-0.004377132623142199
82,-0.0015772366916821032,-0.0975,-0.0016783365699650794,-0.142625
83,0.0,0.0,0.0,0.0
84,0.01866918382314123,0.0,-0.05,-0.05
85,0.0,0.0,0.0,0.0
86,0.06404694118024182,-0.05,-0.05,0.0
87,0.0,0.0,0.0,0.9153511317699651
88,0.8419082755672861,-0.9901116352903411,0.8134976553988157,0.989108689903493
89,-0.9737954940850637,0.9999999999999989,0.9205731654270559,0.9517814370913458
90,-0.142625,-0.0052531729942721294,-0.002475,-0.004355690625
91,-2.2131043840542341e-07,-0.002475,-3.3646684329446825e-05,-0.18549375
92,0.0,0.0,0.0,0.0
93,-0.05,0.0,-0.05,0.0
94,0.0,0.0,0.0,0.0
95,-0.05,0.0,0.0,-0.05
96,0.0,0.0,0.0,0.0
97,0.023829996447945298,0.0,-0.05,-0.05
98,0.0,0.0,0.0,0.0
