learning_rate,gamma,epsilon,first_goal_episode,success_rate,final_reward,final_steps
0.05,0.8,0.05,155,0.51275,1,18
0.05,0.8,0.1,576,0.175375,-1,44
0.05,0.8,0.15,220,0.152,1,36
0.05,0.8,0.2,1054,0.04475,-1,3
0.05,0.9,0.05,214,0.7055,1,18
0.05,0.9,0.1,324,0.471875,-1,2
0.05,0.9,0.15,484,0.292,-1,4
0.05,0.9,0.2,736,0.154875,-1,8
0.05,0.95,0.05,358,0.699375,1,18
0.05,0.95,0.1,312,0.485,1,26
0.05,0.95,0.15,515,0.354375,-1,9
0.05,0.95,0.2,635,0.2115,-1,7
0.05,0.99,0.05,225,0.7105,1,19
0.05,0.99,0.1,175,0.4955,-1,7
0.05,0.99,0.15,345,0.374875,-1,23
0.05,0.99,0.2,762,0.254375,-1,2
0.1,0.8,0.05,297,0.434125,-1,22
0.1,0.8,0.1,226,0.148125,-1,1
0.1,0.8,0.15,382,0.07825,1,19
0.1,0.8,0.2,1098,0.016125,-1,4
0.1,0.9,0.05,409,0.63825,1,20
0.1,0.9,0.1,298,0.364,-1,29
0.1,0.9,0.15,443,0.2215,1,31
0.1,0.9,0.2,557,0.07425,-1,5
0.1,0.95,0.05,186,0.69425,1,20
0.1,0.95,0.1,271,0.491125,-1,13
0.1,0.95,0.15,424,0.280625,-1,12
0.1,0.95,0.2,722,0.18325,-1,5
0.1,0.99,0.05,176,0.66075,-1,15
0.1,0.99,0.1,200,0.433,-1,7
0.1,0.99,0.15,357,0.330375,-1,10
0.1,0.99,0.2,543,0.214125,-1,3
0.2,0.8,0.05,210,0.293375,1,50
0.2,0.8,0.1,367,0.150125,-1,17
0.2,0.8,0.15,1211,0.040125,-1,2
0.2,0.8,0.2,1307,0.025375,-1,2
0.2,0.9,0.05,144,0.576875,-1,18
0.2,0.9,0.1,414,0.210375,-1,11
0.2,0.9,0.15,415,0.115625,-1,20
0.2,0.9,0.2,453,0.057875,-1,24
0.2,0.95,0.05,502,0.585375,0,100
0.2,0.95,0.1,466,0.328625,-1,6
0.2,0.95,0.15,643,0.1935,-1,23
0.2,0.95,0.2,528,0.107875,-1,20
0.2,0.99,0.05,193,0.553375,-1,47
0.2,0.99,0.1,299,0.399875,-1,9
0.2,0.99,0.15,150,0.245875,-1,11
0.2,0.99,0.2,880,0.153375,-1,10
0.3,0.8,0.05,320,0.22175,-1,26
0.3,0.8,0.1,566,0.042,-1,60
0.3,0.8,0.15,1877,0.022625,-1,50
0.3,0.8,0.2,3779,0.009125,-1,2
0.3,0.9,0.05,52,0.249875,0,100
0.3,0.9,0.1,459,0.10975,0,100
0.3,0.9,0.15,1028,0.045,-1,5
0.3,0.9,0.2,866,0.02175,-1,51
0.3,0.95,0.05,220,0.43875,1,18
0.3,0.95,0.1,452,0.227625,-1,91
0.3,0.95,0.15,463,0.104,-1,8
0.3,0.95,0.2,781,0.025375,-1,1
0.3,0.99,0.05,151,0.456,1,20
0.3,0.99,0.1,427,0.308125,-1,14
0.3,0.99,0.15,434,0.19375,-1,3
0.3,0.99,0.2,304,0.107375,1,18
