gamma,epsilon,first_goal_episode,success_rate,final_reward,final_steps
0.8,0.05,-1,0.0,-1.1307821214581712e-08,83
0.8,0.1,-1,0.0,-0.0006338253001141158,34
0.8,0.15,-1,0.0,-1.0,1
0.8,0.2,-1,0.0,-0.32768000000000014,6
0.9,0.05,-1,0.0,-0.47829690000000014,8
0.9,0.1,-1,0.0,-0.00021847450052839252,81
0.9,0.15,-1,0.0,-0.38742048900000015,10
0.9,0.2,-1,0.0,-0.1853020188851842,17
0.95,0.05,-1,0.0,0.0,100
0.95,0.1,-1,0.0,-0.2146387639429372,31
0.95,0.15,-1,0.0,-0.95,2
0.95,0.2,-1,0.0,-0.18402591023557577,34
0.99,0.05,-1,0.0,-0.536268225207185,63
0.99,0.1,-1,0.0,-0.6757290490602831,40
0.99,0.15,-1,0.0,-0.4898902730042049,72
0.99,0.2,-1,0.0,-0.5471566423907612,61
