algorithm,learning_rate,gamma,epsilon,first_goal_episode,success_rate,final_reward,final_steps
Monte Carlo,,0.8,0.1,38,0.862,0.13421772800000006,10
SARSA,0.05,0.8,0.05,12,0.9405,1,7
Q-Learning,0.05,0.95,0.05,8,0.948,1,6
