learning_rate,gamma,epsilon,first_goal_episode,success_rate,final_reward,final_steps
0.05,0.8,0.05,500,0.716875,-1,5
0.05,0.8,0.1,1021,0.457625,1,20
0.05,0.8,0.15,1567,0.23075,-1,17
0.05,0.8,0.2,1670,0.064125,1,24
0.05,0.9,0.05,901,0.6725,-1,13
0.05,0.9,0.1,992,0.471875,-1,21
0.05,0.9,0.15,2441,0.211875,-1,7
0.05,0.9,0.2,376,0.0555,1,24
0.05,0.95,0.05,319,0.723,1,18
0.05,0.95,0.1,110,0.544125,-1,4
0.05,0.95,0.15,1784,0.2765,1,20
0.05,0.95,0.2,3517,0.040875,1,18
0.05,0.99,0.05,163,0.754875,1,18
0.05,0.99,0.1,1153,0.453125,-1,4
0.05,0.99,0.15,1888,0.2255,1,18
0.05,0.99,0.2,3117,0.101375,1,30
0.1,0.8,0.05,462,0.699375,-1,9
0.1,0.8,0.1,1497,0.4515,1,20
0.1,0.8,0.15,2305,0.184,1,22
0.1,0.8,0.2,4018,0.042875,1,20
0.1,0.9,0.05,505,0.66325,1,18
0.1,0.9,0.1,640,0.5045,-1,3
0.1,0.9,0.15,2204,0.204,-1,15
0.1,0.9,0.2,-1,0.0,-1,21
0.1,0.95,0.05,203,0.7425,1,18
0.1,0.95,0.1,846,0.4395,-1,3
0.1,0.95,0.15,3824,0.192875,-1,2
0.1,0.95,0.2,3706,0.080625,-1,12
0.1,0.99,0.05,244,0.749125,1,18
0.1,0.99,0.1,1728,0.438125,-1,22
0.1,0.99,0.15,489,0.2495,-1,15
0.1,0.99,0.2,1617,0.002,1,20
0.2,0.8,0.05,1032,0.66475,-1,4
0.2,0.8,0.1,649,0.47375,-1,1
0.2,0.8,0.15,1723,0.282125,1,20
0.2,0.8,0.2,2454,0.12075,-1,1
0.2,0.9,0.05,752,0.68275,1,18
0.2,0.9,0.1,2557,0.380125,1,18
0.2,0.9,0.15,1094,0.352,1,22
0.2,0.9,0.2,-1,0.0,-1,35
0.2,0.95,0.05,358,0.700375,1,20
0.2,0.95,0.1,794,0.486375,1,18
0.2,0.95,0.15,2458,0.234625,-1,5
0.2,0.95,0.2,4103,0.000125,-1,10
0.2,0.99,0.05,613,0.706625,1,20
0.2,0.99,0.1,1921,0.391,1,18
0.2,0.99,0.15,1413,0.27025,-1,5
0.2,0.99,0.2,4406,0.000125,-1,1
0.3,0.8,0.05,279,0.69825,-1,8
0.3,0.8,0.1,1279,0.434125,1,20
0.3,0.8,0.15,3862,0.183625,1,18
0.3,0.8,0.2,3846,0.09625,-1,3
0.3,0.9,0.05,477,0.6865,1,20
0.3,0.9,0.1,1088,0.472875,-1,5
0.3,0.9,0.15,944,0.29,1,30
0.3,0.9,0.2,527,0.21775,-1,9
0.3,0.95,0.05,458,0.727,1,20
0.3,0.95,0.1,917,0.479125,1,18
0.3,0.95,0.15,1897,0.306375,1,18
0.3,0.95,0.2,5823,0.001875,-1,7
0.3,0.99,0.05,394,0.71675,1,21
0.3,0.99,0.1,771,0.50975,1,24
0.3,0.99,0.15,1520,0.20975,-1,8
0.3,0.99,0.2,4908,0.073625,1,18
